REF_DATE,GEO,Employment,Population,Unemployment,Employment rate,Unemployment rate
1976-01,Alberta,231800,362300,20500,64,8.1
1976-01,Alberta,802400,1154800,35000,69.5,4.2
1976-01,Alberta,819500,1276700,37000,64.2,4.3
1976-01,Alberta,491400,661700,14400,74.3,2.8
1976-01,Alberta,587700,914400,16500,64.3,2.7
1976-01,Alberta,96300,252800,2100,38.1,2.1
1976-01,British Columbia,257500,467000,42700,55.1,14.2
1976-01,British Columbia,1015500,1628800,93000,62.3,8.4
1976-01,British Columbia,1029700,1852400,95800,55.6,8.5
1976-01,British Columbia,652300,940300,47400,69.4,6.8
1976-01,British Columbia,772200,1385300,53100,55.7,6.4
1976-01,British Columbia,119800,445100,5600,26.9,4.5
1976-01,Canada,999200,2330000,179700,42.9,15.2
1976-01,Canada,2499600,4509900,349800,55.4,12.3
1976-01,Canada,9465600,15015900,719400,63,7.1
1976-01,Canada,9636700,16852400,733000,57.2,7.1
1976-01,Canada,1500400,2179800,170100,68.8,10.2
1976-01,Canada,5999300,8619100,333500,69.6,5.3
1976-01,Canada,7137000,12342500,383200,57.8,5.1
1976-01,Canada,955600,1886900,44100,50.6,4.4
1976-01,Canada,1137700,3723400,49800,30.6,4.2
1976-01,Manitoba,116300,190900,14100,60.9,10.8
1976-01,Manitoba,418600,635700,23900,65.8,5.4
1976-01,Manitoba,427400,732900,25300,58.3,5.6
1976-01,Manitoba,250800,352400,8900,71.2,3.4
1976-01,Manitoba,311200,542000,11200,57.4,3.5
1976-01,Manitoba,60400,189500,2300,31.9,3.7
1976-01,New Brunswick,64800,138700,12600,46.7,16.3
1976-01,New Brunswick,227100,419800,28700,54.1,11.2
